,City,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country
0,okhotsk,59.38,143.3,-7.38,71.0,0.0,9.08,RU
1,camana,-16.62,-72.71,68.16,87.0,97.0,5.93,PE
2,mar del plata,-38.0,-57.56,62.01,71.0,0.0,4.7,AR
3,georgetown,5.41,100.34,84.2,79.0,20.0,8.05,MY
4,saint-philippe,-21.36,55.77,69.8,68.0,26.0,9.17,RE
6,srednekolymsk,67.45,153.68,-23.24,92.0,100.0,6.33,RU
7,mataura,-46.19,168.86,66.99,49.0,67.0,7.0,NZ
8,tuktoyaktuk,69.45,-133.04,-22.0,67.0,40.0,12.75,CA
9,kahului,20.89,-156.47,80.6,54.0,20.0,5.82,US
10,berdigestyakh,62.1,126.7,-22.14,96.0,86.0,1.92,RU
12,busselton,-33.65,115.33,93.0,23.0,0.0,10.83,AU
13,rikitea,-23.12,-134.97,80.13,75.0,71.0,7.4,PF
14,kaseda,31.42,130.32,53.6,81.0,75.0,14.99,JP
15,olafsvik,64.89,-23.71,33.69,72.0,100.0,11.95,IS
16,cape town,-33.93,18.42,61.0,87.0,28.0,9.17,ZA
17,torbay,47.67,-52.73,35.01,91.0,90.0,14.29,CA
18,kaitangata,-46.28,169.85,68.0,63.0,44.0,8.9,NZ
19,tagusao,9.19,117.81,83.19,69.0,3.0,5.37,PH
20,chokurdakh,70.63,147.92,-21.78,97.0,100.0,8.5,RU
22,calamar,10.25,-74.91,80.6,83.0,20.0,9.17,CO
23,pishin,30.58,67.0,34.27,87.0,96.0,2.48,PK
24,vaini,-21.2,-175.2,84.2,83.0,40.0,2.24,TO
25,hagenow,53.43,11.18,43.0,96.0,100.0,3.0,DE
26,xuanwu,32.07,118.81,41.0,86.0,40.0,6.71,CN
27,gushi,34.64,109.58,43.21,45.0,20.0,7.49,CN
28,ushuaia,-54.8,-68.3,46.4,93.0,90.0,6.93,AR
29,ilulissat,69.22,-51.1,6.8,60.0,90.0,6.93,GL
30,punta arenas,-53.15,-70.92,48.2,76.0,40.0,17.22,CL
31,port alfred,-33.59,26.89,59.0,72.0,13.0,5.55,ZA
32,codrington,-38.27,141.97,62.89,82.0,17.0,17.02,AU
33,upernavik,72.79,-56.15,-15.12,94.0,100.0,4.79,GL
34,muros,42.78,-9.06,55.99,87.0,20.0,6.93,ES
35,murfreesboro,35.85,-86.39,48.2,70.0,75.0,5.86,US
36,talaya,61.38,152.75,0.97,94.0,68.0,0.29,RU
37,bunia,1.57,30.25,74.39,42.0,100.0,3.85,CD
38,new norfolk,-42.78,147.06,75.99,36.0,100.0,17.22,AU
39,arraial do cabo,-22.97,-42.03,76.71,89.0,24.0,18.34,BR
40,gladstone,-23.85,151.25,84.2,66.0,100.0,13.87,AU
41,bambous virieux,-20.34,57.76,72.0,88.0,40.0,5.82,MU
42,yar-sale,66.83,70.83,-5.55,96.0,93.0,14.61,RU
43,port elizabeth,-33.92,25.57,57.2,76.0,33.0,1.12,ZA
44,bengkulu,-3.8,102.27,88.32,56.0,78.0,0.6,ID
45,barrow,71.29,-156.79,-20.2,68.0,90.0,6.93,US
46,albany,42.6,-73.97,36.0,100.0,90.0,6.93,US
47,luderitz,-26.65,15.16,60.8,63.0,0.0,16.11,NA
48,kayes,14.0,-11.0,74.64,9.0,100.0,4.47,ML
49,saint-paul,-21.01,55.27,69.8,77.0,8.0,6.93,RE
50,guantanamo,20.14,-75.21,77.0,73.0,20.0,9.17,CU
51,castro,-24.79,-50.01,64.0,96.0,47.0,3.49,BR
53,san patricio,19.22,-104.7,78.8,69.0,5.0,11.41,MX
54,portland,45.52,-122.68,52.0,93.0,90.0,4.7,US
55,saint anthony,45.02,-93.22,24.01,100.0,90.0,4.7,US
56,fairmont,39.49,-80.14,37.4,80.0,90.0,3.36,US
57,tiarei,-17.53,-149.33,86.0,70.0,75.0,3.36,PF
58,buraydah,26.33,43.98,37.4,69.0,0.0,4.63,SA
59,tasiilaq,65.61,-37.64,28.4,54.0,100.0,3.36,GL
60,albanel,48.88,-72.45,26.6,73.0,90.0,6.93,CA
61,butaritari,3.07,172.79,84.47,78.0,95.0,23.11,KI
62,atuona,-9.8,-139.03,81.72,75.0,80.0,11.54,PF
63,ahipara,-35.17,173.17,69.8,81.0,0.0,11.72,NZ
64,puerto ayora,-0.74,-90.35,75.0,37.0,81.0,4.0,EC
65,tilzapotla,18.48,-99.27,77.0,27.0,5.0,10.29,MX
66,east london,-33.02,27.91,65.41,74.0,100.0,5.84,ZA
67,kununurra,-15.77,128.73,95.0,50.0,48.0,10.29,AU
68,ternate,0.8,127.4,84.43,70.0,63.0,5.55,ID
70,ailigandi,9.23,-78.02,70.72,95.0,13.0,2.33,PA
71,sao sebastiao,-23.76,-45.41,78.21,75.0,0.0,11.86,BR
72,chuy,-33.7,-53.46,60.3,76.0,0.0,4.99,UY
73,qaanaaq,77.48,-69.36,-11.9,67.0,48.0,3.2,GL
74,axim,4.87,-2.24,75.96,91.0,3.0,1.48,GH
75,longyearbyen,78.22,15.64,3.2,71.0,89.0,3.76,SJ
76,villa carlos paz,-31.42,-64.5,75.99,63.0,76.0,6.93,AR
77,tiksi,71.69,128.87,-24.14,89.0,100.0,5.14,RU
78,fukue,32.69,128.84,51.8,87.0,75.0,12.75,JP
79,beringovskiy,63.05,179.32,7.74,87.0,51.0,10.49,RU
80,tuy hoa,13.08,109.3,74.57,83.0,98.0,9.98,VN
81,kultuk,51.72,103.7,21.15,71.0,94.0,5.86,RU
82,pontalina,-17.52,-49.45,68.07,97.0,59.0,5.03,BR
84,ketchikan,55.34,-131.65,42.8,70.0,90.0,3.36,US
85,mairang,25.57,91.63,57.2,93.0,75.0,2.35,IN
86,vytegra,61.01,36.45,14.49,77.0,100.0,10.8,RU
87,hasaki,35.73,140.83,48.2,100.0,75.0,9.17,JP
88,gorokhovets,56.19,42.7,1.4,91.0,100.0,6.17,RU
89,clyde river,70.47,-68.59,-22.0,67.0,1.0,10.29,CA
90,te anau,-45.42,167.72,64.81,58.0,100.0,5.97,NZ
91,uvira,-3.41,29.15,52.99,94.0,93.0,1.83,CD
92,victoria,22.29,114.16,53.01,57.0,40.0,11.41,HK
93,hermanus,-34.42,19.23,59.0,96.0,10.0,7.16,ZA
94,hobart,-42.88,147.33,75.99,36.0,32.0,17.22,AU
95,ibra,22.69,58.53,57.02,62.0,0.0,8.7,OM
96,luan,46.36,6.98,44.6,100.0,75.0,3.36,CH
97,mahebourg,-20.41,57.7,72.0,88.0,40.0,5.82,MU
98,yellowknife,62.46,-114.35,18.0,92.0,90.0,3.36,CA
99,nyurba,63.28,118.33,-23.53,93.0,0.0,3.13,RU
100,port hedland,-20.32,118.57,95.0,53.0,15.0,10.29,AU
101,ranong,9.97,98.63,73.4,94.0,40.0,5.82,TH
102,naze,28.37,129.48,62.6,72.0,75.0,11.41,JP
103,kazanskoye,55.64,69.23,-1.17,96.0,87.0,7.09,RU
104,dikson,73.51,80.55,-11.22,96.0,90.0,4.76,RU
105,mayumba,-3.43,10.66,82.71,79.0,98.0,10.87,GA
106,jamestown,42.1,-79.24,34.0,86.0,90.0,12.75,US
107,korla,41.76,86.15,33.01,86.0,0.0,6.76,CN
108,nanchong,30.8,106.08,50.0,60.0,1.0,1.39,CN
109,avera,33.19,-82.53,51.01,87.0,1.0,8.05,US
110,yagodnoye,62.55,149.67,-5.85,98.0,100.0,1.72,RU
111,meiktila,20.87,95.87,66.87,36.0,0.0,6.02,MM
113,hilo,19.73,-155.09,80.6,57.0,40.0,10.29,US
114,kulunda,52.57,78.94,15.94,85.0,66.0,14.61,RU
115,horsham,51.06,-0.33,44.01,93.0,40.0,10.29,GB
116,mogadishu,2.04,45.34,80.38,79.0,97.0,24.29,SO
117,rawson,-43.3,-65.1,72.91,41.0,68.0,19.01,AR
118,plymouth,41.83,-70.83,41.0,60.0,90.0,6.93,US
119,rincon,32.3,-81.24,55.4,87.0,1.0,3.36,US
120,sao felix do xingu,-6.64,-51.99,72.43,96.0,100.0,2.35,BR
121,caravelas,-17.71,-39.25,80.28,88.0,100.0,14.12,BR
122,kavieng,-2.57,150.8,85.06,73.0,6.0,10.16,PG
123,sao gabriel da cachoeira,-0.13,-67.09,76.35,83.0,65.0,3.22,BR
124,longkou,37.65,120.33,35.78,95.0,100.0,5.14,CN
125,tuatapere,-46.13,167.68,66.99,49.0,100.0,7.0,NZ
126,kargil,34.57,76.1,-3.33,97.0,100.0,1.95,IN
127,berlevag,70.86,29.09,24.08,74.0,76.0,13.65,NO
128,pevek,69.7,170.31,-0.11,87.0,100.0,2.39,RU
129,hovd,48.01,91.64,7.75,57.0,10.0,1.5,MN
130,three hills,51.7,-113.27,30.2,63.0,40.0,2.24,CA
131,chum phae,16.54,102.1,76.51,56.0,11.0,2.77,TH
132,salalah,17.02,54.09,62.6,29.0,0.0,16.11,OM
133,amvrosiyivka,47.79,38.48,31.46,91.0,100.0,3.56,UA
134,bredasdorp,-34.53,20.04,55.4,82.0,30.0,1.12,ZA
135,khatanga,71.97,102.5,-15.7,91.0,0.0,8.01,RU
136,bathsheba,13.22,-59.52,78.8,69.0,2.0,10.29,BB
137,bluff,-46.6,168.33,66.99,49.0,97.0,7.0,NZ
138,benemerito de las americas,16.52,-90.64,70.74,84.0,19.0,1.81,MX
